episode,dqn_routing_reward,dqn_bottleneck_util,spf_bottleneck_util,dqn_avg_latency,spf_avg_latency,multicast_reward,multicast_bw_saved_mbps,ddos_accuracy,ddos_false_positive
241,-1.2479,36.52,36.52,8.00,8.00,45.2000,80.00,1.0,0.0
242,-0.7246,19.98,19.98,2.50,2.50,22.6000,40.00,0.0,0.0
243,-0.6922,17.81,17.81,2.50,2.50,45.2000,80.00,1.0,0.0
244,-3.0530,20.17,20.17,12.50,12.50,22.6000,40.00,1.0,0.0
245,-2.2692,46.39,44.61,10.00,14.00,45.2000,80.00,0.0,0.0
246,-204.5415,21.41,21.41,14.00,14.00,22.6000,40.00,1.0,0.0
247,-4.6000,50.00,50.00,53.00,53.00,33.9000,60.00,1.0,0.0
248,-2.5785,23.26,24.86,5.00,5.00,33.9000,60.00,0.0,0.0
249,-2.8211,43.00,43.00,4.30,4.30,22.6000,40.00,1.0,0.0
250,-2.8913,22.97,22.97,8.00,8.00,22.6000,40.00,0.0,0.0
251,-6.1500,23.33,28.33,14.00,14.00,38.5000,70.00,1.0,0.0
252,-3.2284,26.25,26.25,4.50,4.50,27.2000,50.00,1.0,0.0
253,-3.6804,51.36,53.86,22.20,20.50,22.6000,40.00,0.0,0.0
254,-1.3726,12.17,12.17,11.80,11.80,38.5000,70.00,1.0,0.0
255,-2.8646,19.92,19.92,8.00,8.00,27.2000,50.00,0.0,0.0
256,-0.9378,15.86,15.86,8.00,8.00,22.6000,40.00,1.0,0.0
257,-2.1645,51.05,54.72,5.00,5.00,45.2000,80.00,1.0,0.0
258,-111.6150,97.02,97.02,2.00,2.00,33.9000,60.00,0.0,0.0
259,-3.3552,23.68,50.00,30.00,75.00,33.9000,60.00,1.0,0.0
260,-0.9711,18.07,18.07,8.00,8.00,33.9000,60.00,0.0,0.0
261,-2.4489,49.93,45.16,10.00,14.00,33.9000,60.00,0.0,0.0
262,-183.9910,91.79,91.79,2.00,2.00,45.2000,80.00,0.0,0.0
263,-4.6000,50.00,50.00,53.00,53.00,22.6000,40.00,1.0,0.0
264,-1.5696,24.87,24.87,6.40,6.40,22.6000,40.00,0.0,0.0
265,-2.4059,43.50,53.72,14.00,14.00,45.2000,80.00,0.0,0.0
266,-0.9916,19.44,19.44,8.00,8.00,22.6000,40.00,1.0,0.0
267,-4.6000,50.00,50.00,53.00,53.00,33.9000,60.00,0.0,0.0
268,-4.2449,29.66,29.66,18.00,18.00,38.5000,70.00,1.0,0.0
269,-2.4312,51.77,54.08,16.40,14.40,22.6000,40.00,1.0,0.0
270,-103.8974,22.46,22.46,8.00,8.00,22.6000,40.00,1.0,0.0
271,-6.1500,28.38,24.74,14.00,14.00,27.2000,50.00,1.0,0.0
272,-1.8456,26.37,27.91,5.00,5.00,22.6000,40.00,1.0,0.0
273,-3.3309,48.33,48.33,9.50,9.50,45.2000,80.00,1.0,0.0
274,-2.5608,25.38,25.38,14.00,14.00,22.6000,40.00,1.0,0.0
275,-1.0857,25.71,25.71,8.00,8.00,38.5000,70.00,1.0,0.0
276,-2.0489,28.92,28.92,14.00,14.00,33.9000,60.00,1.0,0.0
277,-2.0981,43.21,49.50,5.00,5.00,45.2000,80.00,1.0,0.0
278,-1.3193,26.28,26.28,6.50,6.50,45.2000,80.00,1.0,0.0
279,-3.8500,13.44,13.44,6.80,6.80,22.6000,40.00,1.0,0.0
280,-1.8634,17.56,17.56,14.00,14.00,33.9000,60.00,1.0,0.0
281,-3.3188,43.19,43.19,8.00,8.00,22.6000,40.00,1.0,0.0
282,-1.9897,27.65,27.65,13.50,13.50,33.9000,60.00,1.0,0.0
283,-2.5722,29.82,27.16,18.50,13.50,45.2000,80.00,1.0,0.0
284,-2.8212,20.00,20.00,2.70,2.70,45.2000,80.00,1.0,0.0
285,-2.5142,54.28,44.52,10.00,14.00,45.2000,80.00,1.0,0.0
286,-245.3807,16.18,16.18,8.00,8.00,27.2000,50.00,1.0,0.0
287,-0.8324,28.82,28.82,2.00,2.00,45.2000,80.00,1.0,0.0
288,-4.6159,29.89,29.89,5.50,5.50,33.9000,60.00,1.0,0.0
289,-2.3806,49.04,49.04,14.90,14.90,33.9000,60.00,1.0,0.0
290,-0.9994,19.96,19.96,8.00,8.00,22.6000,40.00,1.0,0.0
291,-4.7500,26.25,26.25,8.00,8.00,22.6000,40.00,1.0,0.0
292,-0.8867,27.45,27.45,3.50,3.50,33.9000,60.00,1.0,0.0
293,-2.1795,47.06,48.63,5.00,5.00,22.6000,40.00,1.0,0.0
294,-1.7700,29.33,29.33,14.60,14.60,22.6000,40.00,1.0,0.0
295,-1.9439,22.93,24.10,14.00,14.00,38.5000,70.00,1.0,0.0
296,-0.9979,19.86,19.86,8.00,8.00,22.6000,40.00,1.0,0.0
297,-3.7953,54.10,54.99,19.00,16.50,45.2000,80.00,1.0,0.0
298,-254.8927,23.20,97.46,18.00,19.50,45.2000,80.00,1.0,0.0
299,-1.4869,24.00,24.00,8.40,8.40,22.6000,40.00,1.0,0.0
300,-1.9924,19.50,19.50,10.00,14.00,22.6000,40.00,1.0,0.0
301,-2.1766,38.44,38.44,14.00,14.00,45.2000,80.00,1.0,0.0
302,-58.2327,85.92,85.92,5.00,5.00,22.6000,40.00,1.0,0.0
303,-2.5825,23.84,23.84,20.50,15.00,45.2000,80.00,1.0,0.0
304,-0.9205,23.70,23.70,5.30,5.30,22.6000,40.00,1.0,0.0
305,-2.3933,44.78,52.89,14.00,14.00,22.6000,40.00,1.0,0.0
306,-1.9310,22.07,22.07,14.00,14.00,33.9000,60.00,1.0,0.0
307,-3.8500,50.00,50.00,50.00,50.00,22.6000,40.00,1.0,0.0
308,-0.9079,13.86,28.11,2.00,2.00,45.2000,80.00,1.0,0.0
309,-2.4100,44.37,48.01,14.80,13.60,33.9000,60.00,1.0,0.0
310,-286.6766,25.30,25.30,14.00,14.00,45.2000,80.00,1.0,0.0
311,-2.0275,28.50,27.45,14.00,14.00,22.6000,40.00,1.0,0.0
312,-1.0920,22.17,15.71,2.00,2.00,38.5000,70.00,1.0,0.0
313,-2.1486,48.20,45.90,2.00,2.00,22.6000,40.00,1.0,0.0
314,-1.3754,16.69,29.99,10.50,6.70,22.6000,40.00,1.0,0.0
315,-4.7500,28.79,28.79,8.00,8.00,27.2000,50.00,1.0,0.0
316,-2.9220,14.12,14.12,8.00,8.00,33.9000,60.00,1.0,0.0
317,-1.4060,47.78,43.73,3.00,3.00,33.9000,60.00,1.0,0.0
318,-88.7264,95.73,95.73,2.00,2.00,22.6000,40.00,1.0,0.0
319,-2.1733,26.40,26.40,10.70,10.70,33.9000,60.00,1.0,0.0
320,-0.9626,17.51,17.51,8.00,8.00,45.2000,80.00,1.0,0.0
321,-2.3287,49.86,51.95,10.00,14.00,33.9000,60.00,1.0,0.0
322,-129.5678,97.53,97.53,5.00,5.00,33.9000,60.00,1.0,0.0
323,-2.7560,26.60,26.60,6.00,6.00,45.2000,80.00,1.0,0.0
324,-2.5199,24.40,23.50,14.30,15.90,22.6000,40.00,1.0,0.0
325,-2.5128,54.87,54.87,8.00,8.00,33.9000,60.00,1.0,0.0
326,-2.7912,16.73,16.73,8.00,8.00,22.6000,40.00,1.0,0.0
327,-3.7500,30.00,30.00,24.50,24.50,38.5000,70.00,1.0,0.0
328,-1.8721,24.90,24.90,5.00,5.00,45.2000,80.00,1.0,0.0
329,-1.9160,54.07,54.07,10.10,10.10,45.2000,80.00,1.0,0.0
330,-2.0077,18.45,18.45,14.00,14.00,45.2000,80.00,1.0,0.0
331,-1.9805,26.53,26.53,14.00,14.00,38.5000,70.00,1.0,0.0
332,-0.8930,21.20,21.20,5.50,5.50,33.9000,60.00,1.0,0.0
