episode,reward,loss,dqn_bottleneck,spf_bottleneck,latency_ms,jitter_ms,loss_pct,epsilon
195,-458.654,563.2198,100.0,100.0,524.88,1181.68,30.05,0.922
196,-8.397,109.9362,58.42,19.35,83.48,32.23,0.029,0.922
197,-346.5943,126.7388,100.0,100.0,411.34,928.314,30.05,0.921
198,-3.2985,101.5878,42.75,23.6,33.54,6.217,0.021,0.921
199,8.145,210.3381,40.18,97.14,40.48,7.017,0.02,0.92
200,0.7468,428.5686,28.51,21.65,3.32,0.87,0.014,0.92
201,-618.5791,164.7903,100.0,100.0,814.9,1834.93,30.05,0.92
202,-347.4072,203.2942,100.0,100.0,412.54,931.024,30.05,0.919
203,-1905.773,83.3599,100.0,100.0,2668.29,6005.41,30.05,0.919
204,-1960.0553,139.8657,99.28,99.28,2756.28,6202.672,28.485,0.918
205,8.2846,250.162,44.96,97.8,4.81,1.495,0.022,0.918
206,2.5109,185.9307,52.81,52.81,21.31,6.368,0.026,0.918
207,9.2392,635.9687,35.11,94.66,12.62,3.178,0.018,0.917
208,-875.901,80.2336,100.0,25.04,3173.29,7142.363,30.05,0.917
209,-1016.2563,120.9619,100.0,16.8,3691.2,8306.961,30.05,0.916
210,-422.604,227.771,100.0,91.39,524.88,1181.68,30.05,0.916
211,-50.4625,271.7159,75.34,79.2,141.49,148.261,0.722,0.916
212,-297.727,181.5777,100.0,40.24,1063.44,2395.548,30.05,0.915
213,-2230.229,178.5251,100.0,100.0,3149.28,7086.93,30.05,0.915
214,-5.3017,221.7266,43.22,24.45,48.25,8.892,0.022,0.914
215,3.7104,681.5757,41.07,41.07,4.15,1.235,0.021,0.914
216,-28.0331,250.0417,78.13,49.11,147.22,186.721,1.749,0.914
217,-2.0479,65.1857,36.82,28.25,14.05,3.456,0.018,0.913
218,-3.6809,99.8285,44.66,29.78,52.42,10.6,0.022,0.913
219,-3.8226,205.2354,30.34,28.28,29.45,3.502,0.015,0.912
220,3.658,229.6785,45.67,45.67,4.75,1.52,0.023,0.912
221,-2.0604,180.9686,49.76,22.22,40.94,10.132,0.025,0.912
222,0.2575,210.6058,41.68,27.57,9.5,2.674,0.021,0.911
223,-1832.9079,212.4368,97.08,97.08,2632.52,5924.564,24.0,0.911
224,3.6942,190.9496,37.17,37.17,5.43,0.887,0.019,0.91
225,0.7306,220.5783,31.19,29.1,3.54,0.925,0.016,0.91
226,-12.7739,573.4097,66.13,15.65,88.79,53.346,0.033,0.91
227,-635.801,211.9109,100.0,100.0,787.32,1772.17,30.05,0.909
228,-784.5573,153.0505,100.0,15.18,2841.39,6394.878,30.05,0.909
229,9.4902,89.3827,32.74,94.77,33.19,4.13,0.016,0.908
230,-422.604,88.8226,100.0,91.33,524.88,1181.68,30.05,0.908
231,-6.3278,155.9079,55.59,33.37,51.07,17.744,0.028,0.908
232,3.3271,204.6657,39.48,39.48,10.33,2.597,0.02,0.907
233,-870.6904,222.5497,100.0,25.79,3161.87,7115.967,30.05,0.907
234,-1138.9845,75.6555,100.0,11.05,4130.22,9294.737,30.05,0.906
235,6.9586,184.5608,43.43,84.58,4.69,1.404,0.022,0.906
236,-0.1622,420.5401,56.96,56.96,54.89,19.668,0.028,0.906
237,6.7088,51.0361,48.28,92.03,11.99,3.832,0.024,0.905
238,3.4488,199.578,27.92,27.92,10.73,1.222,0.014,0.905
239,3.7105,117.2486,30.78,30.78,5.51,0.69,0.015,0.904
240,3.742,207.5599,33.78,33.78,3.94,1.005,0.017,0.904
241,-4.9933,219.7032,59.21,10.75,32.18,13.846,0.03,0.904
242,3.2586,206.4331,41.81,41.81,11.24,2.919,0.021,0.903
243,2.6301,198.707,48.9,79.39,82.83,20.242,0.024,0.903
244,-5.057,210.0446,39.54,26.04,46.76,7.19,0.02,0.902
245,-422.604,113.3571,100.0,93.25,524.88,1181.68,30.05,0.902
246,-1485.381,202.399,100.0,100.0,2099.52,4724.27,30.05,0.902
247,-420.3393,201.0145,98.47,88.73,531.27,1196.763,26.777,0.901
248,-999.5376,201.0886,100.0,20.06,3619.25,8145.753,30.05,0.901
249,8.5282,199.2429,36.78,94.57,41.04,6.052,0.018,0.9
250,0.6109,175.5039,45.41,23.06,4.76,1.51,0.023,0.9
251,-23.006,180.3214,76.33,88.17,142.47,158.871,1.029,0.9
252,0.2142,178.5138,39.18,24.15,10.53,2.595,0.02,0.899
253,9.4638,148.1355,33.01,97.99,51.67,6.584,0.017,0.899
254,-2467.5168,181.1821,100.0,91.63,3553.91,7998.056,30.05,0.898
255,9.1768,149.3132,36.3,93.11,4.01,1.073,0.018,0.898
256,4.1847,161.4672,53.85,86.42,31.08,10.189,0.027,0.898
257,7.963,137.9505,40.81,92.38,13.0,3.746,0.02,0.897
258,3.0213,121.7962,46.99,46.99,16.07,3.361,0.023,0.897
259,7.1758,204.0965,41.65,92.04,45.42,7.826,0.021,0.896
260,-446.2137,189.7091,98.12,98.12,524.88,1181.68,26.077,0.896
261,-0.2544,145.1035,59.94,94.35,94.68,39.609,0.03,0.896
262,0.2253,207.7524,39.24,27.57,10.34,2.579,0.02,0.895
263,-3027.3905,103.9331,100.0,100.0,4330.26,9744.135,30.05,0.895
264,-5.4761,121.5607,43.19,13.94,35.52,6.999,0.022,0.894
265,3.7656,132.4058,29.93,29.93,3.59,0.907,0.015,0.894
266,-14.309,167.9959,65.12,65.12,49.76,27.579,0.033,0.894
267,-781.2218,181.2437,100.0,92.59,1055.54,2377.073,30.05,0.893
268,8.0664,125.833,38.23,89.63,24.09,3.616,0.019,0.893
269,6.2986,214.8614,43.05,86.85,42.79,8.017,0.022,0.892
270,-422.604,126.6827,100.0,85.98,524.88,1181.68,30.05,0.892
271,-1521.431,136.9866,100.0,100.0,2099.52,4724.27,30.05,0.892
272,-428.0483,88.1296,100.0,86.78,532.63,1199.828,30.05,0.891
273,-3.6019,684.881,45.2,25.75,50.79,10.622,0.023,0.891
274,-1324.8187,174.8686,100.0,100.0,1861.03,4189.062,30.05,0.89
275,8.5107,82.5541,41.39,94.63,4.34,1.271,0.021,0.89
276,-9.4385,89.7716,62.53,62.53,43.61,20.827,0.031,0.89
277,-427.4486,329.9439,100.0,89.35,531.75,1197.829,30.05,0.889
278,6.861,172.7709,41.44,92.93,61.14,10.866,0.021,0.889
279,3.5847,249.1015,29.94,29.94,7.55,1.134,0.015,0.888
280,9.0134,227.0422,35.76,90.98,3.78,1.038,0.018,0.888
281,-647.8074,145.6206,100.0,100.0,858.05,1932.358,30.05,0.888
282,0.3013,181.1157,40.29,21.26,8.98,2.498,0.02,0.887
283,-5.4507,131.2148,39.16,19.62,52.26,8.377,0.02,0.887
284,8.2722,100.6275,40.71,95.54,26.06,4.327,0.02,0.886
285,3.6698,98.1869,43.63,43.63,4.71,1.416,0.022,0.886
286,-2118.2631,183.2257,100.0,100.0,3036.35,6833.877,30.05,0.886
287,6.8238,167.8551,44.51,87.43,12.57,3.42,0.022,0.885
288,-877.9759,105.9222,100.0,28.26,3177.2,7151.157,30.05,0.885
289,7.2224,111.1567,37.8,80.34,15.25,2.277,0.019,0.884
290,8.6917,747.6523,38.34,91.89,4.21,1.152,0.019,0.884
291,-2078.0015,150.2092,100.0,100.0,2976.7,6699.672,30.05,0.884
292,8.9752,74.4991,38.94,96.92,11.05,2.635,0.019,0.883
293,5.9443,133.4073,46.11,94.91,62.53,13.551,0.023,0.883
294,-1.7879,111.0561,45.97,28.73,24.9,5.431,0.023,0.882
295,-422.604,215.0107,100.0,89.33,524.88,1181.68,30.05,0.882
296,-0.5653,115.917,46.01,46.01,22.62,4.341,0.023,0.882
297,6.6155,498.7892,45.71,87.3,11.64,3.415,0.023,0.881
298,-6.3529,168.6431,39.32,18.21,51.13,7.964,0.02,0.881
299,-5.1429,167.7554,48.73,25.04,42.39,10.234,0.024,0.88
300,6.9902,92.631,41.91,82.75,4.8,1.353,0.021,0.88
301,-312.6213,153.9674,100.0,52.59,1128.77,2541.829,30.05,0.88
302,7.8258,96.9581,43.14,93.52,11.38,3.076,0.022,0.879
303,4.3662,818.7468,49.03,97.72,94.49,23.198,0.025,0.879
304,-3.7951,272.0981,38.51,27.42,43.05,6.424,0.019,0.878
305,-458.654,55.763,100.0,100.0,524.88,1181.68,30.05,0.878
306,-3449.5557,160.6013,100.0,100.0,5008.63,11271.519,30.05,0.878
307,7.1075,104.8732,45.75,91.62,12.44,3.559,0.023,0.877
308,-5.5991,40.0854,39.44,28.49,39.38,6.303,0.02,0.877
309,7.4502,45.2507,42.7,96.64,45.03,8.549,0.021,0.876
